,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,intersection_street_1,intersection_street_2,landmark,vehicle_type,closed_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,due_date,taxi_company_borough
10,59864958,2023-12-29T01:06:31.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10032,2145 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  166 STREET,WEST  167 STREET,ADDRESS,NEW YORK,,In Progress,,2023-12-29T01:11:27.000,12 MANHATTAN,1021110083,MANHATTAN,1001495,244885,ONLINE,Unspecified,MANHATTAN,40.8388111804014,-73.93767696356736,"{'latitude': '40.8388111804014', 'longitude': '-73.93767696356736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090,47,4,39,21,21,WEST  166 STREET,WEST  167 STREET,AMSTERDAM AVENUE,,,,,,,,,
11,59868398,2023-12-29T01:06:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,410 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  130 STREET,WEST  133 STREET,ADDRESS,NEW YORK,,In Progress,,2023-12-29T01:37:55.000,10 MANHATTAN,1019580001,MANHATTAN,998200,235884,ONLINE,Unspecified,MANHATTAN,40.81411182353892,-73.94960373018408,"{'latitude': '40.81411182353892', 'longitude': '-73.94960373018408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424,18,4,36,20,20,WEST  130 STREET,WEST  133 STREET,ST NICHOLAS AVENUE,,,,,,,,,
12,59870620,2023-12-29T01:06:02.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11229,AVENUE T,AVENUE T,AVENUE T,NOSTRAND AVENUE,INTERSECTION,,,In Progress,,,15 BROOKLYN,,BROOKLYN,1000268,158856,PHONE,Unspecified,BROOKLYN,40.602684850792485,-73.9423160485268,"{'latitude': '40.602684850792485', 'longitude': '-73.9423160485268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13512,32,2,8,36,36,AVENUE T,NOSTRAND AVENUE,,,,,,,,,,
13,59868371,2023-12-29T01:05:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,92-12 WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,92 AVENUE,93 AVENUE,ADDRESS,WOODHAVEN,,In Progress,,,09 QUEENS,4089870027,QUEENS,1025989,190311,ONLINE,Unspecified,QUEENS,40.68893808603552,-73.84949519808893,"{'latitude': '40.68893808603552', 'longitude': '-73.84949519808893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24017,46,3,41,60,60,92 AVENUE,93 AVENUE,WOODHAVEN BOULEVARD,,,,,,,,,
14,59868382,2023-12-29T01:05:12.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11412,190 STREET,190 STREET,119 AVENUE,120 AVENUE,BLOCKFACE,,,In Progress,,,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,119 AVENUE,120 AVENUE,,,,,,,,,,
15,59870626,2023-12-29T01:04:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,588 MYRTLE AVENUE,MYRTLE AVENUE,CLASSON AVENUE,TAAFFE PLACE,ADDRESS,BROOKLYN,,In Progress,,2023-12-29T01:41:31.000,03 BROOKLYN,3019100023,BROOKLYN,995101,192132,PHONE,Unspecified,BROOKLYN,40.69402807748995,-73.96086989309515,"{'latitude': '40.69402807748995', 'longitude': '-73.96086989309515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17212,69,2,38,51,51,CLASSON AVENUE,TAAFFE PLACE,MYRTLE AVENUE,,,,,,,,,
16,59867136,2023-12-29T01:04:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11435,146-54 107 AVENUE,107 AVENUE,WALTHAM STREET,SUTPHIN BOULEVARD,ADDRESS,JAMAICA,,In Progress,,2023-12-29T01:23:32.000,12 QUEENS,4100900011,QUEENS,1039164,192030,PHONE,Unspecified,QUEENS,40.693584394373254,-73.80197418208371,"{'latitude': '40.693584394373254', 'longitude': '-73.80197418208371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24670,41,3,46,61,61,WALTHAM STREET,SUTPHIN BOULEVARD,107 AVENUE,,,,,,,,,
17,59867217,2023-12-29T01:03:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11365,167-09 65 AVENUE,65 AVENUE,167 STREET,168 STREET,ADDRESS,FRESH MEADOWS,,In Progress,,,08 QUEENS,4068950006,QUEENS,1039195,207727,PHONE,Unspecified,QUEENS,40.73666860261846,-73.8017342745925,"{'latitude': '40.73666860261846', 'longitude': '-73.8017342745925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14507,25,3,24,65,65,167 STREET,168 STREET,65 AVENUE,,,,,,,,,
18,59867244,2023-12-29T01:02:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,35 EAST   94 STREET,EAST   94 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,ADDRESS,BROOKLYN,,In Progress,,2023-12-29T01:32:19.000,17 BROOKLYN,3045970070,BROOKLYN,1004472,181095,PHONE,Unspecified,BROOKLYN,40.66371757115178,-73.92710998769313,"{'latitude': '40.66371757115178', 'longitude': '-73.92710998769313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17614,61,2,17,40,40,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST   94 STREET,,,,,,,,,
19,59870623,2023-12-29T01:01:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,In Progress,,2023-12-29T01:19:37.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,,,,,,,,
20,59867252,2023-12-29T01:01:30.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10456,1164 SHERIDAN AVENUE,SHERIDAN AVENUE,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,BRONX,,In Progress,,2023-12-29T01:20:37.000,04 BRONX,2024560214,BRONX,1007148,242841,PHONE,Unspecified,BRONX,40.83318814574537,-73.91725413909168,"{'latitude': '40.83318814574537', 'longitude': '-73.91725413909168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,50,5,42,27,27,MCCLELLAN STREET,EAST  167 STREET,SHERIDAN AVENUE,Car,,,,,,,,
21,59870628,2023-12-29T01:01:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1220 BAY RIDGE AVENUE,BAY RIDGE AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,,In Progress,,2023-12-29T01:37:47.000,10 BROOKLYN,3061550014,BROOKLYN,982755,166833,ONLINE,Unspecified,BROOKLYN,40.62459441945239,-74.00538555437153,"{'latitude': '40.62459441945239', 'longitude': '-74.00538555437153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13511,10,2,44,41,41,12 AVENUE,13 AVENUE,BAY RIDGE AVENUE,,,,,,,,,
22,59862858,2023-12-29T01:01:17.000,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11367,147-46 77 ROAD,77 ROAD,147 STREET,150 STREET,ADDRESS,FLUSHING,,In Progress,,,08 QUEENS,4066880025,QUEENS,1035163,202148,ONLINE,Unspecified,QUEENS,40.72137977337607,-73.8163256713087,"{'latitude': '40.72137977337607', 'longitude': '-73.8163256713087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14509,25,3,24,65,65,147 STREET,150 STREET,77 ROAD,,,,,,,,,
23,59867793,2023-12-29T01:01:12.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,20 WEST  129 STREET,WEST  129 STREET,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-12-29T01:07:01.000,10 MANHATTAN,1017260049,MANHATTAN,1000389,234204,ONLINE,Unspecified,MANHATTAN,40.809496964201664,-73.94169971190213,"{'latitude': '40.809496964201664', 'longitude': '-73.94169971190213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424,18,4,36,20,20,5 AVENUE,LENOX AVENUE,WEST  129 STREET,,2023-12-29T01:06:58.000,,,,,,,
24,59863794,2023-12-29T01:00:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,,In Progress,,,09 BRONX,2038740063,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11610,58,5,31,26,26,EAST  172 STREET,EAST  174 STREET,COMMONWEALTH AVENUE,,,,,,,,,
25,59862688,2023-12-29T01:00:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,900 EAST   18 STREET,EAST   18 STREET,DEAD END,AVENUE I,ADDRESS,BROOKLYN,,In Progress,,2023-12-29T01:11:27.000,14 BROOKLYN,3067010068,BROOKLYN,995598,168252,MOBILE,Unspecified,BROOKLYN,40.62848213407823,-73.959117837282,"{'latitude': '40.62848213407823', 'longitude': '-73.959117837282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13513,60,2,26,43,43,DEAD END,AVENUE I,EAST   18 STREET,,,,,,,,,
26,59865523,2023-12-29T01:00:11.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-12-29T01:02:57.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,2023-12-29T01:02:55.000,,,,,,,
27,59870631,2023-12-29T00:59:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,400 BROOK AVENUE,BROOK AVENUE,EAST  143 STREET,EAST  144 STREET,ADDRESS,BRONX,,In Progress,,2023-12-29T01:27:44.000,01 BRONX,2022690100,BRONX,1007256,234955,ONLINE,Unspecified,BRONX,40.81154303671623,-73.91689090006788,"{'latitude': '40.81154303671623', 'longitude': '-73.91689090006788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10932,49,5,35,23,23,EAST  143 STREET,EAST  144 STREET,BROOK AVENUE,,,,,,,,,
28,59864967,2023-12-29T00:59:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,227 WEST   16 STREET,WEST   16 STREET,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,,In Progress,,2023-12-29T01:31:12.000,04 MANHATTAN,1007660023,MANHATTAN,984344,208984,ONLINE,Unspecified,MANHATTAN,40.74028942620797,-73.99966078851408,"{'latitude': '40.74028942620797', 'longitude': '-73.99966078851408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074,12,4,10,6,6,7 AVENUE,8 AVENUE,WEST   16 STREET,,,,,,,,,
29,59863815,2023-12-29T00:59:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,45-11 82 STREET,82 STREET,45 AVENUE,47 AVENUE,ADDRESS,ELMHURST,,In Progress,,,04 QUEENS,4015367503,QUEENS,1016695,209452,ONLINE,Unspecified,QUEENS,40.741514454924385,-73.88291572024654,"{'latitude': '40.741514454924385', 'longitude': '-73.88291572024654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,45 AVENUE,47 AVENUE,82 STREET,,,,,,,,,
30,59870621,2023-12-29T00:58:58.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,In Progress,,2023-12-29T01:12:02.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,,,,,,,,
31,59868402,2023-12-29T00:58:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,439 EAST  135 STREET,EAST  135 STREET,WILLIS AVENUE BRIDGE,MAJOR DEEGAN EXPWY NB ET    2,ADDRESS,BRONX,,In Progress,,,01 BRONX,2022800060,BRONX,1005611,233141,PHONE,Unspecified,BRONX,40.80656824177106,-73.92283922633352,"{'latitude': '40.80656824177106', 'longitude': '-73.92283922633352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10932,49,5,35,23,23,WILLIS AVENUE BRIDGE,MAJOR DEEGAN EXPWY NB ET    2,EAST  135 STREET,,,,,,,,,
32,59869506,2023-12-29T00:57:39.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,In Progress,,2023-12-29T01:11:37.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,,,,,,,,
33,59866101,2023-12-29T00:57:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1211 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,ADDRESS,BRONX,,In Progress,,,09 BRONX,,BRONX,1018919,241671,ONLINE,Unspecified,BRONX,40.82993847212095,-73.87472370103949,"{'latitude': '40.82993847212095', 'longitude': '-73.87472370103949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11610,58,5,31,26,26,WESTCHESTER AVENUE,EAST  172 STREET,MORRISON AVENUE,,,,,,,,,
34,59862684,2023-12-29T00:56:41.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,In Progress,,2023-12-29T01:11:07.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,,,,,,,,
35,59866069,2023-12-29T00:56:27.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10001,130 WEST   34 STREET,WEST   34 STREET,BROADWAY,7 AVENUE,ADDRESS,NEW YORK,,In Progress,,2023-12-29T01:16:07.000,05 MANHATTAN,1008090062,MANHATTAN,987226,212669,ONLINE,Unspecified,MANHATTAN,40.750403327823356,-73.98925907821484,"{'latitude': '40.750403327823356', 'longitude': '-73.98925907821484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11722,11,4,10,8,8,BROADWAY,7 AVENUE,WEST   34 STREET,,,,,,,,,
36,59864939,2023-12-29T00:56:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2416 MORRIS AVENUE,MORRIS AVENUE,EAST  184 STREET,EAST FORDHAM ROAD,ADDRESS,BRONX,,In Progress,,,05 BRONX,,BRONX,1011829,252947,ONLINE,Unspecified,BRONX,40.86091274467345,-73.90029698721696,"{'latitude': '40.86091274467345', 'longitude': '-73.90029698721696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11606,6,5,29,29,29,EAST  184 STREET,EAST FORDHAM ROAD,MORRIS AVENUE,,,,,,,,,
37,59865519,2023-12-29T00:55:37.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,ADDRESS,ELMHURST,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-12-29T01:03:22.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,92 STREET,93 STREET,CORONA AVENUE,,2023-12-29T01:03:18.000,,,,,,,
38,59864965,2023-12-29T00:55:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,45-19 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH   45 STREET,BEACH   46 STREET,ADDRESS,FAR ROCKAWAY,,In Progress,,2023-12-29T01:24:33.000,14 QUEENS,4158537502,QUEENS,1046308,155618,PHONE,Unspecified,QUEENS,40.59359441442539,-73.7765471998799,"{'latitude': '40.59359441442539', 'longitude': '-73.7765471998799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20529,51,3,47,59,59,BEACH   45 STREET,BEACH   46 STREET,ROCKAWAY BEACH BOULEVARD,,,,,,,,,
39,59862670,2023-12-29T00:54:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10024,62 WEST   91 STREET,WEST   91 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,,In Progress,,2023-12-29T01:14:27.000,07 MANHATTAN,1012040055,MANHATTAN,992802,226862,PHONE,Unspecified,MANHATTAN,40.78935578033835,-73.96911622750446,"{'latitude': '40.78935578033835', 'longitude': '-73.96911622750446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12421,20,4,19,15,15,CENTRAL PARK WEST,COLUMBUS AVENUE,WEST   91 STREET,,,,,,,,,
